T,s1,s2,s3,s4,v_x,v_y
1780571299667,1794,1715,1768,1840,-000.0729,-000.1506
1780571299717,1832,1747,1839,1864,-000.0892,-000.1333
1780571299767,1814,1729,1818,1833,-000.0842,-000.1252
1780571299817,1829,1758,1807,1845,-000.0616,-000.1678
1780571299867,1826,1740,1816,1842,-000.0640,-000.1530
1780571299917,1789,1724,1702,1886,-000.0694,-000.1850
1780571299967,1781,1731,1703,1876,-000.0632,-000.1932
1780571300017,1845,1781,1810,1871,-000.0823,-000.1413
1780571300067,1839,1773,1812,1864,-000.0873,-000.1435
1780571300117,1810,1749,1805,1863,-000.0928,-000.1505
1780571300167,1772,1705,1759,1835,-000.0780,-000.1536
1780571300217,1842,1738,1814,1852,-000.0849,-000.1469
1780571300267,1819,1736,1769,1882,-000.1104,-000.1496
1780571300317,1738,1671,1723,1844,-000.1275,-000.1703
1780571300367,1809,1704,1848,1862,-000.1269,-000.1555
1780571300417,1782,1701,1777,1844,-000.1029,-000.1769
1780571300467,1817,1750,1832,1853,-000.1045,-000.1880
1780571300517,1781,1715,1778,1842,-000.1039,-000.1844
1780571300567,1805,1681,1833,1827,-000.1227,-000.1355
1780571300617,1809,1685,1828,1841,-000.1258,-000.1466
1780571300667,4096,4096,4096,4096,+000.0000,+000.0000
1780571300717,4096,4096,4096,4096,+000.0000,+000.0000
1780571300767,4096,4096,4096,4096,+000.0000,+000.0000
1780571300817,4096,4096,4096,4096,+000.0000,+000.0000
1780571300867,4096,4096,4096,4096,+000.0000,+000.0000
1780571300917,4096,4096,4096,4096,+000.0000,+000.0000
